time,e_kin,e_pot_harm,e_tot
   0.4450000000,  20.7613408654,4174.3953928864,4195.1567337518
   0.4500000000,  21.2297158997,4173.9270177789,4195.1567336785
   0.4550000000,  21.7032885609,4173.4534450436,4195.1567336044
   0.4600000000,  22.1820576635,4172.9746758660,4195.1567335295
   0.4650000000,  22.6660220091,4172.4907114447,4195.1567334538
   0.4700000000,  23.1551803862,4172.0015529911,4195.1567333773
   0.4750000000,  23.6495315703,4171.5072017297,4195.1567332999
   0.4800000000,  24.1490743238,4171.0076588980,4195.1567332218
   0.4850000000,  24.6538073964,4170.5029257464,4195.1567331428
   0.4900000000,  25.1637295245,4169.9930035385,4195.1567330631
   0.4950000000,  25.6788394317,4169.4778935507,4195.1567329825
   0.5000000000,  26.1991358286,4168.9575970725,4195.1567329011
   0.5050000000,  26.7246174126,4168.4321154062,4195.1567328188
   0.5100000000,  27.2552828684,4167.9014498674,4195.1567327358
   0.5150000000,  27.7911308676,4167.3656017844,4195.1567326520
   0.5200000000,  28.3321600688,4166.8245724985,4195.1567325673
   0.5250000000,  28.8783691178,4166.2783633641,4195.1567324819
   0.5300000000,  29.4297566471,4165.7269757485,4195.1567323956
   0.5350000000,  29.9863212765,4165.1704110320,4195.1567323085
   0.5400000000,  30.5480616129,4164.6086706078,4195.1567322207
   0.5450000000,  31.1149762499,4164.0417558820,4195.1567321320
   0.5500000000,  31.6870637686,4163.4696682738,4195.1567320424
   0.5550000000,  32.2643227368,4162.8924092153,4195.1567319521
   0.5600000000,  32.8467517095,4162.3099801515,4195.1567318610
   0.5650000000,  33.4343492287,4161.7223825404,4195.1567317691
   0.5700000000,  34.0271138235,4161.1296178528,4195.1567316763
   0.5750000000,  34.6250440101,4160.5316875726,4195.1567315828
   0.5800000000,  35.2281382918,4159.9285931967,4195.1567314884
   0.5850000000,  35.8363951587,4159.3203362346,4195.1567313933
   0.5900000000,  36.4498130883,4158.7069182090,4195.1567312973
   0.5950000000,  37.0683905451,4158.0883406555,4195.1567312005
   0.6000000000,  37.6921259805,4157.4646051224,4195.1567311029
   0.6050000000,  38.3210178333,4156.8357131712,4195.1567310045
   0.6100000000,  38.9550645291,4156.2016663762,4195.1567309053
   0.6150000000,  39.5942644808,4155.5624663245,4195.1567308053
   0.6200000000,  40.2386160883,4154.9181146162,4195.1567307045
   0.6250000000,  40.8881177386,4154.2686128644,4195.1567306029
   0.6300000000,  41.5427678058,4153.6139626947,4195.1567305005
   0.6350000000,  42.2025646512,4152.9541657460,4195.1567303973
   0.6400000000,  42.8675066232,4152.2892236700,4195.1567302932
   0.6450000000,  43.5375920572,4151.6191381312,4195.1567301884
   0.6500000000,  44.2128192758,4150.9439108069,4195.1567300827
   0.6550000000,  44.8931865888,4150.2635433875,4195.1567299763
   0.6600000000,  45.5786922931,4149.5780375760,4195.1567298690
   0.6650000000,  46.2693346726,4148.8873950884,4195.1567297610
   0.6700000000,  46.9651119985,4148.1916176537,4195.1567296521
   0.6750000000,  47.6660225290,4147.4907070134,4195.1567295425
   0.6800000000,  48.3720645097,4146.7846649223,4195.1567294320
   0.6850000000,  49.0832361732,4146.0734931476,4195.1567293208
   0.6900000000,  49.7995357391,4145.3571934696,4195.1567292087
   0.6950000000,  50.5209614144,4144.6357676814,4195.1567290958
   0.7000000000,  51.2475113932,4143.9092175890,4195.1567289821
   0.7050000000,  51.9791838567,4143.1775450109,4195.1567288677
   0.7100000000,  52.7159769735,4142.4407517789,4195.1567287524
   0.7150000000,  53.4578888990,4141.6988397373,4195.1567286363
   0.7200000000,  54.2049177762,4140.9518107432,4195.1567285195
   0.7250000000,  54.9570617350,4140.1996666668,4195.1567284018
   0.7300000000,  55.7143188926,4139.4424093907,4195.1567282833
   0.7350000000,  56.4766873534,4138.6800408106,4195.1567281640
